date,Mkt-RF,SMB,HML,RMW,CMA,RF
19630701,-0.67,0,-0.34,-0.01,0.16,0.01
19630702,0.79,-0.26,0.26,-0.07,-0.2,0.01
19630703,0.63,-0.17,-0.09,0.18,-0.34,0.01
19630705,0.4,0.08,-0.27,0.09,-0.34,0.01
19630708,-0.63,0.04,-0.18,-0.29,0.14,0.01
19630709,0.45,0,0.09,0.14,-0.05,0.01
19630710,-0.18,0.21,0.01,0.06,-0.08,0.01
19630711,-0.16,0.15,-0.3,-0.07,0.05,0.01
19630712,-0.12,0.01,-0.09,0.11,0.04,0.01
19630715,-0.62,0.07,-0.02,0.16,-0.04,0.01
19630716,-0.07,-0.08,0.14,-0.05,-0.08,0.01
19630717,-0.33,-0.08,0.14,0.03,0.1,0.01
19630718,-0.54,0.26,0.07,-0.04,0.33,0.01
19630719,-0.23,-0.06,-0.04,0.16,-0.3,0.01
19630722,-0.7,-0.1,-0.33,0,-0.11,0.01
19630723,0.01,-0.09,-0.19,0.04,-0.07,0.01
19630724,0.46,-0.11,-0.02,-0.11,-0.29,0.01
19630725,-0.04,0.14,0.26,-0.15,0.16,0.01
19630726,0.35,-0.14,0.08,0.03,-0.08,0.01
19630729,0.11,-0.17,0.25,0.07,-0.11,0.01
19630730,0.84,-0.29,-0.25,0.52,-0.41,0.01
19630731,-0.13,0.12,-0.01,-0.15,0.34,0.01
19630801,-0.08,-0.13,-0.11,0.16,-0.01,0.01
19630802,0.29,-0.14,0.16,-0.05,0.02,0.01
19630805,0.57,-0.42,0.16,0.04,0.1,0.01
19630806,0.6,-0.33,0.25,0.01,-0.03,0.01
19630807,-0.19,0.04,0.17,-0.2,0.15,0.01
19630808,0.14,-0.01,-0.25,0.28,-0.32,0.01
19630809,0.6,-0.09,-0.06,0.24,-0.16,0.01
19630812,0.24,0.2,0.43,-0.12,0.34,0.01
19630813,0.27,-0.26,0.01,0.04,-0.03,0.01
19630814,0.29,-0.07,0.2,-0.19,0.04,0.01
19630815,0.43,-0.3,0.36,-0.19,-0.01,0.01
19630816,0.15,0.08,0.12,0.05,-0.19,0.01
19630819,-0.05,-0.01,-0.09,-0.07,-0.06,0.01
19630820,-0.05,0.01,-0.24,0.02,0.1,0.01
19630821,-0.11,0.33,-0.12,-0.07,0.1,0.01
19630822,0.38,0.07,0.09,-0.08,-0.32,0.01
19630823,0.34,-0.01,0.09,0.07,-0.03,0.01
19630826,0.18,-0.12,0.15,0.11,-0.21,0.01
19630827,-0.44,0.1,-0.05,-0.02,0.14,0.01
19630828,0.77,0.08,0.43,0.13,0.2,0.01
19630829,0.18,0.12,0,0.1,0.1,0.01
19630830,0.44,0.11,-0.06,0.11,-0.27,0.01
19630903,0.23,0.08,0.03,0.03,0.19,0.01
19630904,-0.01,0.06,-0.07,-0.38,-0.04,0.01
19630905,0.47,-0.1,0.13,-0.08,0.04,0.01
19630906,-0.27,-0.18,-0.01,0.12,-0.04,0.01
19630909,-0.36,-0.25,-0.02,0.05,0.14,0.01
19630910,0.52,-0.17,0.42,0.06,-0.25,0.01
19630911,0.24,-0.21,0.19,-0.06,0.32,0.01
19630912,-0.09,0.11,-0.12,-0.21,-0.12,0.01
19630913,0.02,0.35,-0.17,-0.3,0.12,0.01
19630916,-0.16,0.15,0.18,-0.1,-0.4,0.01
19630917,0.03,-0.2,0.17,0.05,0.06,0.01
19630918,-0.43,0.11,-0.24,-0.16,-0.04,0.01
19630919,0.52,-0.4,0.16,0.15,-0.02,0.01
19630920,0.04,-0.06,-0.01,0.11,-0.35,0.01
19630923,-0.5,-0.09,-0.2,0.07,0.16,0.01
19630924,0.35,-0.33,0.12,-0.06,0.07,0.01
19630925,-0.58,-0.26,-0.08,-0.42,0.16,0.01
19630926,-0.82,0.48,-0.35,-0.04,0.29,0.01
19630927,-0.18,0.27,-0.22,0.19,-0.08,0.01
19630930,-0.6,0.19,0.1,0.2,-0.04,0.01
19631001,0.65,-0.2,0.24,-0.04,-0.14,0.01
19631002,0.1,-0.13,0,0.03,-0.12,0.01
19631003,0.66,-0.29,0.85,-0.35,0.16,0.01
19631004,0,0.03,0.05,0,0.16,0.01
19631007,-0.23,0.18,-0.01,-0.19,-0.03,0.01
19631008,-0.14,0.18,0.27,-0.04,-0.22,0.01
19631009,-0.61,0.15,-0.07,-0.01,0.2,0.01
19631010,0.08,-0.03,0.14,0.06,-0.09,0.01
19631011,0.13,0.4,0.07,0.04,-0.04,0.01
19631014,0.05,-0.01,0.08,0.1,-0.2,0.01
19631015,0.17,-0.3,0.14,0.02,0.02,0.01
19631016,0.89,-0.34,0.28,0.17,-0.41,0.01
19631017,0.14,0.1,-0.25,0.22,-0.02,0.01
19631018,0.09,0.11,-0.23,0.2,-0.05,0.01
19631021,0.04,-0.22,-0.31,0.55,0.09,0.01
19631022,-0.54,0.34,-0.46,0.28,-0.33,0.01
19631023,0.03,-0.1,-0.06,0.11,-0.11,0.01
19631024,0.35,-0.07,0.45,0.07,-0.14,0.01
19631025,0.85,-0.43,-0.87,0.64,-0.96,0.01
19631028,0.41,-0.78,-0.29,0.7,-0.41,0.01
19631029,-0.04,-0.29,-0.07,0.24,0.29,0.01
19631030,-0.79,0.43,-0.06,-0.22,0.51,0.01
19631031,0.21,-0.04,0.09,0.13,-0.32,0.01
19631101,-0.18,0.25,0.2,-0.22,0.21,0.02
19631104,-0.43,0.08,0.37,-0.22,0.46,0.02
19631106,-0.77,0.1,0.24,-0.11,0.51,0.02
19631107,0.33,0.05,-0.03,-0.07,-0.23,0.02
19631108,0.54,0.06,0.11,0.13,-0.15,0.02
19631111,0.2,0.22,0.15,0.14,-0.08,0.02
19631112,-0.37,0.25,-0.29,0.2,-0.17,0.02
19631113,0.05,0.05,-0.08,0.05,-0.12,0.02
19631114,-0.41,0.12,-0.03,-0.1,0.35,0.02
19631115,-0.75,0.35,0.01,-0.15,0.63,0.02
19631118,-0.74,0.09,-0.23,0.27,-0.04,0.02
19631119,0.1,-0.31,0.35,-0.18,0.06,0.02
19631120,0.76,-0.97,-0.34,0.27,0.54,0.02
19631121,-1.25,-0.11,0.03,-0.45,0.41,0.02
19631122,-2.89,-0.59,0.07,0.6,0.56,0.02
19631126,3.93,-1.22,0.85,-0.35,-0.46,0.02
19631127,-0.16,0.36,0.12,-0.01,-0.08,0.02
19631129,1.34,0.33,0.3,-0.23,-0.19,0.02
19631202,0.53,-0.31,-0.21,0.51,-0.35,0.01
19631203,-0.05,-0.07,-0.2,0.11,0.2,0.01
19631204,0.25,0.11,0.11,-0.12,0.16,0.01
19631205,0.57,-0.71,0.13,-0.24,0.35,0.01
19631206,-0.32,0.19,0.08,-0.13,0.01,0.01
19631209,-0.1,0.02,-0.16,0.1,-0.35,0.01
19631210,0.07,-0.12,0.2,0.18,0.18,0.01
19631211,-0.14,0.04,0.09,-0.28,-0.15,0.01
19631212,-0.03,-0.16,-0.08,0.07,0.36,0.01
19631213,0.16,-0.06,0.1,-0.14,-0.03,0.01
19631216,0.25,-0.47,-0.01,0.04,-0.2,0.01
19631217,0.44,-0.64,0.07,0.2,-0.69,0.01
19631218,-0.18,-0.15,0.57,-0.42,0.61,0.01
19631219,-0.34,-0.08,-0.45,-0.02,0.26,0.01
19631220,-0.2,-0.23,0.11,-0.06,0.44,0.01
