"","K0","R0","N","Ti","cancor.Theta.RPC","cancor.F.RPC","err.Theta.RPC","err.F.RPC","K=0","K=1","K=2","K=3","K=4","R=0","R=1","R=2","R=3","R=4"
"PCp1",2,2,20,200,0.993277681146189,0.933012802066063,0.212412894244987,0.636461542736468,0,34,66,0,0,0,10,90,0,0
"ICp1",2,2,20,200,0.993277681146189,0.933012802066063,0.212412894244987,0.636461542736468,0,43,57,0,0,4,24,72,0,0
"PCp2",2,2,20,200,0.993277681146189,0.933012802066063,0.212412894244987,0.636461542736468,0,38,62,0,0,0,12,88,0,0
"ICp2",2,2,20,200,0.993277681146189,0.933012802066063,0.212412894244987,0.636461542736468,0,46,54,0,0,8,27,65,0,0
"PCp3",2,2,20,200,0.993277681146189,0.933012802066063,0.212412894244987,0.636461542736468,0,31,69,0,0,0,5,95,0,0
"ICp3",2,2,20,200,0.993277681146189,0.933012802066063,0.212412894244987,0.636461542736468,0,32,68,0,0,2,12,86,0,0
"PCp1",2,2,50,200,0.997668762673022,0.974781253697807,0.134154858285253,0.404844099447057,0,0,100,0,0,0,0,100,0,0
"ICp1",2,2,50,200,0.997668762673022,0.974781253697807,0.134154858285253,0.404844099447057,0,0,100,0,0,0,0,100,0,0
"PCp2",2,2,50,200,0.997668762673022,0.974781253697807,0.134154858285253,0.404844099447057,0,1,99,0,0,0,0,100,0,0
"ICp2",2,2,50,200,0.997668762673022,0.974781253697807,0.134154858285253,0.404844099447057,0,2,98,0,0,0,0,100,0,0
"PCp3",2,2,50,200,0.997668762673022,0.974781253697807,0.134154858285253,0.404844099447057,0,0,100,0,0,0,0,100,0,0
"ICp3",2,2,50,200,0.997668762673022,0.974781253697807,0.134154858285253,0.404844099447057,0,0,100,0,0,0,0,100,0,0
"PCp1",2,2,100,200,0.998821906817351,0.987719220108502,0.0921148602627165,0.286269592048758,0,0,100,0,0,0,0,100,0,0
"ICp1",2,2,100,200,0.998821906817351,0.987719220108502,0.0921148602627165,0.286269592048758,0,0,100,0,0,0,0,100,0,0
"PCp2",2,2,100,200,0.998821906817351,0.987719220108502,0.0921148602627165,0.286269592048758,0,0,100,0,0,0,0,100,0,0
"ICp2",2,2,100,200,0.998821906817351,0.987719220108502,0.0921148602627165,0.286269592048758,0,0,100,0,0,0,0,100,0,0
"PCp3",2,2,100,200,0.998821906817351,0.987719220108502,0.0921148602627165,0.286269592048758,0,0,100,0,0,0,0,100,0,0
"ICp3",2,2,100,200,0.998821906817351,0.987719220108502,0.0921148602627165,0.286269592048758,0,0,100,0,0,0,0,100,0,0
"PCp1",2,2,200,200,0.999443089164168,0.994016435796732,0.0616678583573057,0.201852124199801,0,0,100,0,0,0,0,100,0,0
"ICp1",2,2,200,200,0.999443089164168,0.994016435796732,0.0616678583573057,0.201852124199801,0,0,100,0,0,0,0,100,0,0
"PCp2",2,2,200,200,0.999443089164168,0.994016435796732,0.0616678583573057,0.201852124199801,0,0,100,0,0,0,0,100,0,0
"ICp2",2,2,200,200,0.999443089164168,0.994016435796732,0.0616678583573057,0.201852124199801,0,0,100,0,0,0,0,100,0,0
"PCp3",2,2,200,200,0.999443089164168,0.994016435796732,0.0616678583573057,0.201852124199801,0,0,100,0,0,0,0,100,0,0
"ICp3",2,2,200,200,0.999443089164168,0.994016435796732,0.0616678583573057,0.201852124199801,0,0,100,0,0,0,0,100,0,0
"PCp1",2,2,200,20,0.990770382095722,0.989045280769828,0.246084534955161,0.226990290752486,0,4,96,0,0,0,29,71,0,0
"ICp1",2,2,200,20,0.990770382095722,0.989045280769828,0.246084534955161,0.226990290752486,0,7,93,0,0,4,33,63,0,0
