"","err.type","NT","err.Theta.RPC","err.F.RPC","K.0","K.1","K.2","K.3","K.4","R.0","R.1","R.2","R.3","R.4"
"1","E1","(20, 200)",0.212412894244987,0.636461542736468,0,34,66,0,0,0,10,90,0,0
"2","","",0.212412894244987,0.636461542736468,0,43,57,0,0,4,24,72,0,0
"7","","(50, 200)",0.134154858285253,0.404844099447057,0,0,100,0,0,0,0,100,0,0
"8","","",0.134154858285253,0.404844099447057,0,0,100,0,0,0,0,100,0,0
"13","","(100, 200)",0.0921148602627165,0.286269592048758,0,0,100,0,0,0,0,100,0,0
"14","","",0.0921148602627165,0.286269592048758,0,0,100,0,0,0,0,100,0,0
"19","","(200, 200)",0.0616678583573057,0.201852124199801,0,0,100,0,0,0,0,100,0,0
"20","","",0.0616678583573057,0.201852124199801,0,0,100,0,0,0,0,100,0,0
"25","","(200, 20)",0.246084534955161,0.226990290752486,0,4,96,0,0,0,29,71,0,0
"26","","",0.246084534955161,0.226990290752486,0,7,93,0,0,4,33,63,0,0
"31","","(200, 50)",0.135062908027131,0.209988940993848,0,0,100,0,0,0,0,100,0,0
"32","","",0.135062908027131,0.209988940993848,0,0,100,0,0,0,0,100,0,0
"37","","(200, 100)",0.0921331545437927,0.206950338022978,0,0,100,0,0,0,0,100,0,0
"38","","",0.0921331545437927,0.206950338022978,0,0,100,0,0,0,0,100,0,0
"11","E2","(20, 200)",0.212599034638474,0.632758898128628,0,42,58,0,0,0,6,94,0,0
"21","","",0.212599034638474,0.632758898128628,0,47,53,0,0,6,17,77,0,0
"71","","(50, 200)",0.121902021666742,0.403673214048731,0,1,99,0,0,0,0,100,0,0
"81","","",0.121902021666742,0.403673214048731,0,2,98,0,0,0,0,100,0,0
"131","","(100, 200)",0.0887947744506025,0.284725958265843,0,0,100,0,0,0,0,100,0,0
"141","","",0.0887947744506025,0.284725958265843,0,0,100,0,0,0,0,100,0,0
"191","","(200, 200)",0.0631886364794393,0.201632389787616,0,0,100,0,0,0,0,100,0,0
"201","","",0.0631886364794393,0.201632389787616,0,0,100,0,0,0,0,100,0,0
"251","","(200, 20)",0.250831101968111,0.239879711924392,0,6,94,0,0,2,31,67,0,0
"261","","",0.250831101968111,0.239879711924392,0,14,86,0,0,12,34,54,0,0
"311","","(200, 50)",0.132475760338764,0.211997156340233,0,0,100,0,0,0,0,100,0,0
"321","","",0.132475760338764,0.211997156340233,0,0,100,0,0,0,0,100,0,0
"371","","(200, 100)",0.0865401663190333,0.202213496051818,0,0,100,0,0,0,0,100,0,0
"381","","",0.0865401663190333,0.202213496051818,0,0,100,0,0,0,0,100,0,0
"12","E3","(20, 200)",0.212524564595649,0.636551538472729,0,34,66,0,0,0,10,90,0,0
"22","","",0.212524564595649,0.636551538472729,0,41,59,0,0,5,23,72,0,0
"72","","(50, 200)",0.133318705644507,0.404669662741104,0,0,100,0,0,0,0,100,0,0
"82","","",0.133318705644507,0.404669662741104,0,1,99,0,0,0,0,100,0,0
"132","","(100, 200)",0.0922517080919552,0.286690365379502,0,0,100,0,0,0,0,100,0,0
"142","","",0.0922517080919552,0.286690365379502,0,0,100,0,0,0,0,100,0,0
"192","","(200, 200)",0.0618821564783376,0.201518153299905,0,0,100,0,0,0,0,100,0,0
"202","","",0.0618821564783376,0.201518153299905,0,0,100,0,0,0,0,100,0,0
"252","","(200, 20)",0.25084961565457,0.226249641227157,0,3,97,0,0,0,32,68,0,0
"262","","",0.25084961565457,0.226249641227157,0,8,92,0,0,4,33,63,0,0
"312","","(200, 50)",0.136160254807024,0.210543424691869,0,0,100,0,0,0,0,100,0,0
"322","","",0.136160254807024,0.210543424691869,0,0,100,0,0,0,0,100,0,0
"372","","(200, 100)",0.0919722800342233,0.207215350436959,0,0,100,0,0,0,0,100,0,0
"382","","",0.0919722800342233,0.207215350436959,0,0,100,0,0,0,0,100,0,0
